2019-05-11 20:26:00 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 20:26:39 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 20:27:36 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 20:36:54 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 20:42:56 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 20:43:33 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 20:46:47 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 20:48:46 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 20:50:45 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 20:51:08 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 20:54:31 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 21:02:40 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 21:03:02 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 21:03:14 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 21:03:44 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 21:04:12 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 21:04:25 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 21:04:51 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 21:06:30 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 21:07:15 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 21:08:29 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 21:11:07 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 21:12:00 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 21:13:25 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 21:15:13 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 21:16:09 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 21:18:19 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 21:18:55 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 21:19:42 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
